Sorteio,Comparacoes_Lista,Comparacoes_Arvore
1,2299,12
2,3475,13
3,1970,13
4,1471,20
5,3517,15
6,339,17
7,3414,19
8,1054,10
9,4207,11
10,676,14
11,3128,13
12,2250,15
13,1223,9
14,3178,12
15,1155,19
16,3210,8
17,1491,15
18,696,15
19,3622,13
20,368,14
21,2676,14
22,2574,19
23,834,19
24,1992,16
25,1276,17
26,2535,13
27,1099,20
28,4366,12
29,761,17
30,163,21
31,1523,17
32,2983,15
33,735,14
34,673,15
35,3261,13
36,2588,14
37,3143,19
38,4936,5
39,3818,11
40,821,15
41,3722,13
42,4477,14
43,2718,14
44,3006,20
45,2103,15
46,3029,12
47,3156,16
48,4611,13
49,1178,16
50,1889,11
